2404:f4c0:f700::/48,US,US-CA,California,
2404:f4c0:f701::/48,DE,DE-HE,Hessen,
2404:f4c0:f702::/48,JP,JP-13,Tokyo,
2404:f4c0:f703::/48,TW,TW-TPE,Taipei,
2404:f4c0:f704::/48,CN,CN-33,Zhejiang,
2404:f4c0:f705::/48,CN,CN-42,Hubei,
2404:f4c0:f706::/48,US,US-CA,California,
2404:f4c0:f707::/48,CN,CN-44,Guangdong,
2404:f4c0:f708::/45,HK,,Hong Kong,
2404:f4c0:f709::/48,CN,CN-43,Hunan,
2404:f4c0:f70a::/48,DE,DE-HE,Hessen,
2404:f4c0:f70f::/48,US,US-CA,California,
2406:840:9840::/44,TW,TW-TPE,Taipei,
2407:9240:1001::/48,TW,TW-TPE,Taipei,
2a0e:b107:1980::/48,TW,TW-TPE,Taipei,
2a0e:b107:1980::/47,TW,TW-TPE,Taipei,
2a0d:2587:8300::/40,TW,TW-TPE,Taipei,
2a0d:2587:8400::/40,TW,TW-TPE,Taipei,
2a06:a005:2b0::/44,US,US-CA,California,
2a06:a005:600::/44,TW,TW-TPE,Taipei,
2602:feda:a80::/44,US,US-CA,California,
2a12:3fc2:dd00::/40,TW,TW-TPE,Taipei,
